drug pairs 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01083    object:CYCLOSPORINE precipitant: Orlistat 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00601    object:Paroxetine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00993-http://bio2rdf.org/drugbank:DB01250    object:Olsalazine precipitant: Azathioprine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB04868    object:TELITHROMYCIN precipitant: Nilotinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB01118    object:AMIODARONE precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00726-http://bio2rdf.org/drugbank:DB01100    object:Trimipramine precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01356-http://bio2rdf.org/drugbank:DB00177    object:Valsartan precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: Fluconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01356-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01345-http://bio2rdf.org/drugbank:DB00722    object:LISINOPRIL precipitant: POTASSIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB01406    object:CYCLOSPORINE precipitant: Danazol 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00529    object:CYCLOSPORINE precipitant: FOSCARNET 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB01356    object:LITHIUM precipitant: Meloxicam 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01223-http://bio2rdf.org/drugbank:DB00537    object:CIPROFLOXACIN precipitant: AMINOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01023    object:PHENOBARBITAL precipitant: Felodipine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00784    object:Mefenamic acid precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: NORETHINDRONE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB01345    object:POTASSIUM precipitant: Captopril 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00877    object:SIROLIMUS precipitant: CLARITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00218-http://bio2rdf.org/drugbank:DB00199    object:Moxifloxacin precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB06772-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: Cabazitaxel 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB01223    object:PHENYTOIN precipitant: AMINOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01268    object:Sunitinib precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00594-http://bio2rdf.org/drugbank:DB00519    object:Trandolapril precipitant: Amiloride 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00384    object:Triamterene precipitant: LISINOPRIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB04855    object:Dronedarone precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00802    object:Ketoconazole precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00199-http://bio2rdf.org/drugbank:DB00661    object:Verapamil precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00734-http://bio2rdf.org/drugbank:DB00564    object:Risperidone precipitant: Carbamazepine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00661    object:TIMOLOL precipitant: Verapamil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01356    object:LITHIUM precipitant: Haloperidol 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00661-http://bio2rdf.org/drugbank:DB00976    object:TELITHROMYCIN precipitant: Verapamil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB00745    object:ETHINYL ESTRADIOL precipitant: Modafinil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00459    object:Acitretin precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00641-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: SIMVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00619-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: Imatinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB04835    object:Voriconazole precipitant: MARAVIROC 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    object:MIDAZOLAM precipitant: Fluconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00564    object:CYCLOSPORINE precipitant: Carbamazepine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00208    object:CYCLOSPORINE precipitant: Ticlopidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00490    object:RIFAMPICIN precipitant: Buspirone 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB00530    object:Erlotinib precipitant: TELITHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB01268    object:RIFAMPICIN precipitant: Sunitinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00601-http://bio2rdf.org/drugbank:DB00368    object:Norepinephrine precipitant: Linezolid 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00619    object:PHENYTOIN precipitant: Imatinib 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00966    object:INDOMETHACIN precipitant: TELMISARTAN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00537    object:CIPROFLOXACIN precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB00421    object:FOSINOPRIL precipitant: Spironolactone 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00796-http://bio2rdf.org/drugbank:DB01356    object:CANDESARTAN precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00555    object:Valproic Acid precipitant: Lamotrigine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00319-http://bio2rdf.org/drugbank:DB00563    object:METHOTREXATE precipitant: PIPERACILLIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00801-http://bio2rdf.org/drugbank:DB00363    object:Halazepam precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB01072    object:MIDAZOLAM precipitant: Atazanavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: Fosamprenavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00204-http://bio2rdf.org/drugbank:DB00661    object:Dofetilide precipitant: Verapamil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00208-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: Ticlopidine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01337-http://bio2rdf.org/drugbank:DB00955    object:NETILMICIN precipitant: Pancuronium 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01068-http://bio2rdf.org/drugbank:DB00363    object:CLONAZEPAM precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01601-http://bio2rdf.org/drugbank:DB00820    object:Lopinavir precipitant: Tadalafil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00489    object:INDOMETHACIN precipitant: Sotalol 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01082-http://bio2rdf.org/drugbank:DB00887    object:Streptomycin precipitant: Bumetanide 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00998-http://bio2rdf.org/drugbank:DB01175    object:ESCITALOPRAM precipitant: Frovatriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00277-http://bio2rdf.org/drugbank:DB00199    object:THEOPHYLLINE precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00966    object:Spironolactone precipitant: TELMISARTAN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00955-http://bio2rdf.org/drugbank:DB01339    object:Vecuronium precipitant: NETILMICIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00860    object:RIFAMPICIN precipitant: Prednisolone 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB00862    object:CLARITHROMYCIN precipitant: Vardenafil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00916-http://bio2rdf.org/drugbank:DB01008    object:METRONIDAZOLE precipitant: Busulfan 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00918-http://bio2rdf.org/drugbank:DB01104    object:Almotriptan precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01263-http://bio2rdf.org/drugbank:DB01100    object:POSACONAZOLE precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB06287    object:RIFAMPICIN precipitant: TEMSIROLIMUS 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00252    object:PHENYTOIN precipitant: DIAZEPAM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB06287    object:SAQUINAVIR precipitant: TEMSIROLIMUS 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00400    object:NORETHINDRONE precipitant: Griseofulvin 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01367-http://bio2rdf.org/drugbank:DB01104    object:Rasagiline precipitant: SERTRALINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01394    object:CLARITHROMYCIN precipitant: COLCHICINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00615    object:SAQUINAVIR precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01319-http://bio2rdf.org/drugbank:DB00615    object:Fosamprenavir precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00932-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: TIPRANAVIR 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00175-http://bio2rdf.org/drugbank:DB01241    object:Gemfibrozil precipitant: PRAVASTATIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB00813    object:Voriconazole precipitant: Fentanyl 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00998-http://bio2rdf.org/drugbank:DB01104    object:SERTRALINE precipitant: Frovatriptan 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00977-http://bio2rdf.org/drugbank:DB01174    object:ETHINYL ESTRADIOL precipitant: PHENOBARBITAL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB01248    object:Voriconazole precipitant: DOCETAXEL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00467-http://bio2rdf.org/drugbank:DB00277    object:Enoxacin precipitant: THEOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB01100    object:Ritonavir precipitant: Pimozide 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01045    object:RIFAMPICIN precipitant: Fluconazole 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01592-http://bio2rdf.org/drugbank:DB01137    object:Iron precipitant: LEVOFLOXACIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00384    object:Triamterene precipitant: Captopril 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00208-http://bio2rdf.org/drugbank:DB00277    object:Ticlopidine precipitant: THEOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00862-http://bio2rdf.org/drugbank:DB01026    object:Ketoconazole precipitant: Vardenafil 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01211-http://bio2rdf.org/drugbank:DB01223    object:CLARITHROMYCIN precipitant: AMINOPHYLLINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00503-http://bio2rdf.org/drugbank:DB00615    object:Ritonavir precipitant: RIFABUTIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00363    object:Carbamazepine precipitant: CLOZAPINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00877-http://bio2rdf.org/drugbank:DB00343    object:SIROLIMUS precipitant: Diltiazem 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00503    object:Carbamazepine precipitant: Ritonavir 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00876-http://bio2rdf.org/drugbank:DB01345    object:Eprosartan precipitant: POTASSIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00570-http://bio2rdf.org/drugbank:DB00582    object:Voriconazole precipitant: VINBLASTINE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00649-http://bio2rdf.org/drugbank:DB00495    object:ZIDOVUDINE precipitant: Stavudine 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00384-http://bio2rdf.org/drugbank:DB00876    object:Triamterene precipitant: Eprosartan 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00479-http://bio2rdf.org/drugbank:DB00214    object:Torasemide precipitant: Amikacin 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00749    object:Etodolac precipitant: METHOTREXATE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00673-http://bio2rdf.org/drugbank:DB00977    object:ETHINYL ESTRADIOL precipitant: Aprepitant 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00490-http://bio2rdf.org/drugbank:DB00199    object:Buspirone precipitant: ERYTHROMYCIN 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB06201    object:RUFINAMIDE precipitant: Valproic Acid 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00736    object:Ketoconazole precipitant: ESOMEPRAZOLE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB01356    object:LISINOPRIL precipitant: LITHIUM 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00802-http://bio2rdf.org/drugbank:DB00196    object:Fluconazole precipitant: ALFENTANIL 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00559-http://bio2rdf.org/drugbank:DB00717    object:BOSENTAN precipitant: NORETHINDRONE 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
http://bio2rdf.org/drugbank:DB00582-http://bio2rdf.org/drugbank:DB04855    object:Voriconazole precipitant: Dronedarone 	NDF-RT Evidence: None 	World-Vista Evidence: None 	Drugbank Evidence: None 
