CODE,RXCUI2,STR,RELA,RXCUI1,STR
4032229,1001434,"CAFFEINE/MAGNESIUM SALICYLATE",has_part,1886,CAFFEINE
4032229,1001434,"CAFFEINE/MAGNESIUM SALICYLATE",has_part,52364,"Magnesium Salicylate"
4030045,1001472,DUTASTERIDE/TAMSULOSIN,has_part,228790,Dutasteride
4030045,1001472,DUTASTERIDE/TAMSULOSIN,has_part,77492,5-((2R)-2-(2-(2-ethoxyphenoxy)ethylamino)propyl)-2-methoxy-benzenesulfonamide
4030048,1002293,FORMOTEROL/MOMETASONE,has_part,108118,MOMETASONE
4030048,1002293,FORMOTEROL/MOMETASONE,has_part,25255,Eformoterol
4023217,1006903,PANCREATIN/PYRIDOXINE,has_part,42954,"VITAMIN B A 06"
4023217,1006903,PANCREATIN/PYRIDOXINE,has_part,7880,PANCREATIN
4031278,1007312,BENZOCAINE/GLYCERIN,has_part,1399,"benzocaine otic"
4031278,1007312,BENZOCAINE/GLYCERIN,has_part,4910,Glycerol
4033245,1007329,IBUPROFEN/PHENYLEPHRINE,has_part,5640,Ibuprofen
4033245,1007329,IBUPROFEN/PHENYLEPHRINE,has_part,8163,PHENYLEPHRINE
4034012,1007535,HYALURONATE/UREA,has_part,11002,UREA
4034012,1007535,HYALURONATE/UREA,has_part,62372,hyaluronate
4022754,1007573,"CYANOCOBALAMIN/FOLIC ACID",has_part,11248,CYANOCOBALAMIN
4022754,1007573,"CYANOCOBALAMIN/FOLIC ACID",has_part,4511,"Folic Acid"
4030855,1007587,ACETAMINOPHEN/CHLORPHENIRAMINE/DEXTROMETHORPHAN,has_part,161,Acetaminophen
4030855,1007587,ACETAMINOPHEN/CHLORPHENIRAMINE/DEXTROMETHORPHAN,has_part,2400,Chlorphenamine
4030855,1007587,ACETAMINOPHEN/CHLORPHENIRAMINE/DEXTROMETHORPHAN,has_part,3289,DEXTROMETHORPHAN
4033252,1007646,PHENYLEPHRINE/TRIPROLIDINE,has_part,10849,TRIPROLIDINE
4033252,1007646,PHENYLEPHRINE/TRIPROLIDINE,has_part,8163,PHENYLEPHRINE
4033133,1007804,ACYCLOVIR/HYDROCORTISONE,has_part,281,ACYCLOVIR
4033133,1007804,ACYCLOVIR/HYDROCORTISONE,has_part,5492,Hydrocortisone
4022408,1007893,BELLADONNA/CAFFEINE/ERGOTAMINE/PENTOBARBITAL,has_part,1359,"BELLADONNA ALKALOIDS"
4022408,1007893,BELLADONNA/CAFFEINE/ERGOTAMINE/PENTOBARBITAL,has_part,1886,CAFFEINE
4022408,1007893,BELLADONNA/CAFFEINE/ERGOTAMINE/PENTOBARBITAL,has_part,4025,Ergotamine
4022408,1007893,BELLADONNA/CAFFEINE/ERGOTAMINE/PENTOBARBITAL,has_part,8004,PENTOBARBITAL
4022893,1008065,"FERROUS SULFATE/FOLIC ACID",has_part,24947,"FERROUS SULFATE"
4022893,1008065,"FERROUS SULFATE/FOLIC ACID",has_part,4511,"Folic Acid"
4032572,1008092,BROMPHENIRAMINE/DEXTROMETHORPHAN/PHENYLEPHRINE,has_part,1767,BROMPHENIRAMINE
4032572,1008092,BROMPHENIRAMINE/DEXTROMETHORPHAN/PHENYLEPHRINE,has_part,3289,DEXTROMETHORPHAN
4032572,1008092,BROMPHENIRAMINE/DEXTROMETHORPHAN/PHENYLEPHRINE,has_part,8163,PHENYLEPHRINE
4022657,1008141,"ASCORBIC ACID/FERROUS FUMARATE/FOLIC ACID",has_part,1151,"ASCORBIC ACID"
4022657,1008141,"ASCORBIC ACID/FERROUS FUMARATE/FOLIC ACID",has_part,24941,"Ferrous fumarate"
4022657,1008141,"ASCORBIC ACID/FERROUS FUMARATE/FOLIC ACID",has_part,4511,"Folic Acid"
4033939,1008252,ACETAMINOPHEN/DEXTROMETHORPHAN/DIPHENHYDRAMINE,has_part,161,Acetaminophen
4033939,1008252,ACETAMINOPHEN/DEXTROMETHORPHAN/DIPHENHYDRAMINE,has_part,3289,DEXTROMETHORPHAN
4033939,1008252,ACETAMINOPHEN/DEXTROMETHORPHAN/DIPHENHYDRAMINE,has_part,3498,Diphenhydramine
4023678,1008340,DOCUSATE/SENNA,has_part,36387,Sennosides
4023678,1008340,DOCUSATE/SENNA,has_part,82003,"Dioctyl sulfosuccinate"
4022514,1008386,"ASCORBIC ACID/FERROUS SULFATE/FOLIC ACID",has_part,1151,"ASCORBIC ACID"
4022514,1008386,"ASCORBIC ACID/FERROUS SULFATE/FOLIC ACID",has_part,24947,"FERROUS SULFATE"
4022514,1008386,"ASCORBIC ACID/FERROUS SULFATE/FOLIC ACID",has_part,4511,"Folic Acid"
4022369,1008547,BELLADONNA/BUTABARBITAL,has_part,477631,BUTABARBITAL
4022369,1008547,BELLADONNA/BUTABARBITAL,has_part,89781,"belladonna extract, USP"
4022634,1008559,"FERROUS FUMARATE/FOLIC ACID",has_part,24941,"Ferrous fumarate"
4022634,1008559,"FERROUS FUMARATE/FOLIC ACID",has_part,4511,"Folic Acid"
4023257,1008574,"SODIUM BIPHOSPHATE/SODIUM PHOSPHATE",has_part,235496,"Sodium Phosphate, Monobasic"
4023257,1008574,"SODIUM BIPHOSPHATE/SODIUM PHOSPHATE",has_part,36709,"SODIUM PHOSPHATE"
4034754,1008701,ACETAMINOPHEN/DEXTROMETHORPHAN/DOXYLAMINE/PHENYLEPHRINE,has_part,161,Acetaminophen
4034754,1008701,ACETAMINOPHEN/DEXTROMETHORPHAN/DOXYLAMINE/PHENYLEPHRINE,has_part,3289,DEXTROMETHORPHAN
4034754,1008701,ACETAMINOPHEN/DEXTROMETHORPHAN/DOXYLAMINE/PHENYLEPHRINE,has_part,3642,Doxylamine
4034754,1008701,ACETAMINOPHEN/DEXTROMETHORPHAN/DOXYLAMINE/PHENYLEPHRINE,has_part,8163,PHENYLEPHRINE
4030139,1008801,AMLODIPINE/HYDROCHLOROTHIAZIDE/OLMESARTAN,has_part,17767,AMLODIPINE
4030139,1008801,AMLODIPINE/HYDROCHLOROTHIAZIDE/OLMESARTAN,has_part,321064,omesartan
4030139,1008801,AMLODIPINE/HYDROCHLOROTHIAZIDE/OLMESARTAN,has_part,5487,Hydrochlorothiazide
4032354,1008818,LIDOCAINE/MENTHOL,has_part,6387,Lidocaine
4032354,1008818,LIDOCAINE/MENTHOL,has_part,6750,MENTHOL
4032142,1008848,"CAPSAICIN/MENTHOL/METHYL SALICYLATE",has_part,1992,CAPSAICIN
4032142,1008848,"CAPSAICIN/MENTHOL/METHYL SALICYLATE",has_part,29787,"METHYL SALICYLATE"
4032142,1008848,"CAPSAICIN/MENTHOL/METHYL SALICYLATE",has_part,6750,MENTHOL
4031536,1008849,"SALICYLIC ACID/UREA",has_part,11002,UREA
4031536,1008849,"SALICYLIC ACID/UREA",has_part,9525,"SALICYLIC ACID"
4022554,1008932,AMYLASE/CELLULASE/LIPASE/PROTEASE,has_part,2219,CELLULASE
4022554,1008932,AMYLASE/CELLULASE/LIPASE/PROTEASE,has_part,6406,Lipase
4022554,1008932,AMYLASE/CELLULASE/LIPASE/PROTEASE,has_part,743,AMYLASE
4022554,1008932,AMYLASE/CELLULASE/LIPASE/PROTEASE,has_part,8031,PROTEASE
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,763096,"POLIOVIRUS TYPE 1 ANTIGEN (FORMALDEHYDE INACTIVATED)"
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,763098,"POLIOVIRUS TYPE 2 ANTIGEN (FORMALDEHYDE INACTIVATED)"
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,763100,"POLIOVIRUS TYPE 3 ANTIGEN (FORMALDEHYDE INACTIVATED)"
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,798279,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine"
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,798302,"pertussis, acellular"
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,798304,"Diphtheria Toxoid"
4034555,1008933,DIPHTHERIA/HAEMOPHILUS/PERTUSSIS/POLIO/TETANUS,has_part,798306,"CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)"
4026969,1009015,AMLODIPINE/OLMESARTAN,has_part,17767,AMLODIPINE
4026969,1009015,AMLODIPINE/OLMESARTAN,has_part,321064,omesartan
4024203,1009033,"CALCIUM CARBONATE/FOLIC ACID/MAGNESIUM CARBONATE",has_part,1897,"CALCIUM (AS CALCIUM CARBONATE)"
4024203,1009033,"CALCIUM CARBONATE/FOLIC ACID/MAGNESIUM CARBONATE",has_part,29155,"MAGNESIUM CARBONATE"
4024203,1009033,"CALCIUM CARBONATE/FOLIC ACID/MAGNESIUM CARBONATE",has_part,4511,"Folic Acid"
4034554,1009129,CYANOCOBALAMIN/METHYLCOBALAMIN,has_part,11248,CYANOCOBALAMIN
4034554,1009129,CYANOCOBALAMIN/METHYLCOBALAMIN,has_part,29421,Methylcobalamin
4023111,1009149,"ALUMINUM HYDROXIDE/MAGNESIUM HYDROXIDE",has_part,612,"Aluminum Hydroxide"
4023111,1009149,"ALUMINUM HYDROXIDE/MAGNESIUM HYDROXIDE",has_part,6581,"MAGNESIUM HYDROXIDE"
4022214,1009152,"POTASSIUM CHLORIDE/POTASSIUM GLUCONATE",has_part,8591,"CHLORIDE (AS POTASSIUM)"
4022214,1009152,"POTASSIUM CHLORIDE/POTASSIUM GLUCONATE",has_part,89903,"Potassium gluconate"
4022549,1009153,"POTASSIUM BICARBONATE/POTASSIUM CITRATE",has_part,34296,"POTASSIUM BICARBONATE"
4022549,1009153,"POTASSIUM BICARBONATE/POTASSIUM CITRATE",has_part,54993,"potassium citrate"
4022800,1009154,"POTASSIUM CITRATE/POTASSIUM GLUCONATE",has_part,54993,"potassium citrate"
4022800,1009154,"POTASSIUM CITRATE/POTASSIUM GLUCONATE",has_part,89903,"Potassium gluconate"
4022520,1009156,CHLORPHENIRAMINE/METHSCOPOLAMINE/PHENYLEPHRINE,has_part,2400,Chlorphenamine
4022520,1009156,CHLORPHENIRAMINE/METHSCOPOLAMINE/PHENYLEPHRINE,has_part,8163,PHENYLEPHRINE
4022520,1009156,CHLORPHENIRAMINE/METHSCOPOLAMINE/PHENYLEPHRINE,has_part,89785,"METHYLSCOPOLAMINE N"
4030218,1009219,ALSKIREN/AMLODIPINE,has_part,17767,AMLODIPINE
4030218,1009219,ALSKIREN/AMLODIPINE,has_part,325646,aliskiren
4030856,1013625,"DROSPIRENONE/ETHINYL ESTRADIOL/LEVOMEFOLATE",has_part,1025342,"Levomefolic Acid"
4030856,1013625,"DROSPIRENONE/ETHINYL ESTRADIOL/LEVOMEFOLATE",has_part,11636,drospirenone
4030856,1013625,"DROSPIRENONE/ETHINYL ESTRADIOL/LEVOMEFOLATE",has_part,4124,"Ethinyl Estradiol"
4032144,1020419,"CAPSAICIN/ LIDOCAINE/MENTHOL/METHYL SALICYLATE",has_part,1992,CAPSAICIN
4032144,1020419,"CAPSAICIN/ LIDOCAINE/MENTHOL/METHYL SALICYLATE",has_part,29787,"METHYL SALICYLATE"
4032144,1020419,"CAPSAICIN/ LIDOCAINE/MENTHOL/METHYL SALICYLATE",has_part,6387,Lidocaine
4032144,1020419,"CAPSAICIN/ LIDOCAINE/MENTHOL/METHYL SALICYLATE",has_part,6750,MENTHOL
4034627,1033889,AMLODIPINE/PERINDOPRIL,has_part,17767,AMLODIPINE
