Drug Interaction ID Suspected_Typo_Annotations
152	['concentrations', 'concentrations', 'concentrations']
122	['the', 'the']
154	['possibly fatal general vaccine disease', 'immunosupression', 'concentrations', 'the']
156	['concentrations', 'concentrations', 'concentrations']
195	['onset of']
189	['the', 'the']
191	['Increase of the risk of', 'ciclosporin', 'ciclosporin', 'concentrations', 'concentrations']
190	['the', 'the', 'the', 'Increase of the']
193	['concentrations', 'concentrations']
60	['the dexmethasone', 'the', 'the', 'metaolism', 'metaolism', 'the', 'the', 'the', 'concentrations']
234	['the torsades de pointes type']
117	['the', 'inhibitor of type 5 phosphodiesterase']
65	['concentrations', 'the']
67	['the', 'Decrease of the antalgic effect']
82	['the']
69	['Decrease of the antalgic effect']
80	['antagonism at the level of the receptors']
81	['the', 'the progestatif']
84	['effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'the concentrations and of the effectiveness', 'the', 'effectiveness']
170	['concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations']
24	['the']
27	['effectiveness']
21	['concentrations']
22	['Increased risk of undesirable effects (concentration dependant) of the rhabdomyolysis type', 'the simvastatin']
23	[', decrease of the progestin, with risk of lower']
46	['the', 'effectiveness', 'acting at different levels of hemeostasis', 'the', 'effectiveness', 'ineffectiveness', 'the', 'concentrations', 'the theophyllinemia', 'the']
44	['corticotherapy']
45	['concentrations']
28	['the']
29	['concentrations', 'effectiveness', 'the effect', ', by reason of the enzymatic inducer effect of the St Johns wort', ', by reason of the enzymatic inducer effect of the St Johns Wort', 'effectiveness', 'the effect, of the contraceptive', 'the']
182	['the', 'the', 'the']
96	['effectiveness', 'effectiveness', 'effectiveness', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']
6	['effectiveness', 'antagonism of the effects']
78	['the', 'the']
243	['the theophyllinemia', 'hypoglyclemia', 'Increase of the risk of']
202	['concentrations']
142	['concentrations', 'concentrations', 'felcainide', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'the', 'the', 'the', 'the', 'the', 'Increased risk of undesirable effects (dose dependent) of the rhabdomyolysis type', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'accrued', 'Accrued']
83	['effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'lower effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'effectiveness', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations']
208	['the theophyllinemia']
120	['concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations']
77	['the']
75	['concentrations', 'concentrations', 'concentrations', 'the']
109	['the', 'the', 'the', 'cimetadine']
124	['concentrations', 'concentrations']
240	['concentrations', 'concentrations']
71	['the', 'decrease of the antalgic effect', 'the antalgic', 'the']
128	['with']
115	['concentrations', 'inducerr', 'decrease of its metabolism', 'the extremities', 'increase of undesirable effects (dose dependent) of the rhabdomyolysis type', 'medication', 'concentrations']
101	['the', 'the', 'accrued', 'the', 'the']
205	['addition of the platelet antiagregation action']
107	['the', 'the', 'the', 'ciclosporin', 'the', 'concentrations', 'concentrations', 'the', 'concentrations', 'concentrations', 'the', 'the', 'the', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'the', 'concentrations', 'the', 'concentrations', 'concentrations', 'the', 'concentrations', 'concentrations']
104	['the']
58	['the', 'the', 'the dexmethasone']
11	['Increased risk of undesirable effects (concentration dependant) of the rhabdomyolysis type']
10	['cytotoxic', 'the', 'the', 'the', 'addition of the negative effects', 'the addition of the negative effects', 'constantly', 'the', 'the', 'the', 'constantly', 'constantly']
12	['the']
15	['the']
14	['the']
16	['the']
33	['the']
18	['the', 'the', 'the', 'Increase of the', 'concentrations']
31	['effectiveness']
49	['the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the']
51	['the', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations', 'concentrations']
36	['the', 'antagonism at the level of the receptors', 'Increase of the effects of the curares', 'the curarizing agent', 'exceptional']
212	['addition of undesirable effects', 'addition of undesirable effects', 'addition of undesirable effects']
233	['the', 'concentrations', 'ciclosporin', 'concentrations']
168	['Increase of the', 'Moderate increase of the', 'Decrease of the antalgic effect', 'decrease of the antalgic effect', 'concentrations']
237	['concentrations']
110	['concentrations', 'the', 'the', 'the', 'the', 'the', 'dihyropyridine', 'dihydorpyridine', 'dihydropyridine']
