Drug Interaction ID	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
0			BRADYCARIA INDUCING DRUGS	C0N0S0			OTHER BRADYCARIA INDUCING DRUGS	C0N0S0	ANSM	100-BRADYCARIA-INDUCING-DRUGS.html	Risk of excessive bradycardia (addition of the effects)	Take into account	
1			BRADYCARIA INDUCING DRUGS	C0N0S0	FINGOLIMOD	1012892			ANSM	100-BRADYCARIA-INDUCING-DRUGS.html	Increase of the bradycardia inducing effects which can have fatal consequences. The beta-blocking agents are even more at risk since they inhibit the adrenergic compensation mechanisms	Not recommended	
2			BRADYCARIA INDUCING DRUGS	C0N0S0			SUBSTANCES THAT TEND TO INDUCE TORSADES DE POINTES	C01-N05	ANSM	100-BRADYCARIA-INDUCING-DRUGS.html	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Precaution for use	
3	BRENTUXIMAB	1147320			BLEOMYCIN	1622			ANSM	101-BRENTUXIMAB.html	Risk of increase of pulmonary toxicity	CONTRAINDICATION	
4	BRENTUXIMAB	1147320					STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	101-BRENTUXIMAB.html	Increase of the concentrations of the active metabolite of the brentuximab, with risk of neutropenia	Take into account	
5	BUPRENORPHINE	1819			ATAZANAVIR	343047			ANSM	102-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to simultaneous inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
6	BUPRENORPHINE	1819					BENZODIAZEPINES AND RELATED	N05-001	ANSM	102-BUPRENORPHINE.html	With the buprenorphine used in opioid replacement therapy: increased risk of respiratory depression which could be fatal.	Take into account	
7	BUPRENORPHINE	1819			FOSAMPRENAVIR	358262			ANSM	102-BUPRENORPHINE.html	Risk of increase or of decrease of the effects of the A to take into account buprenorphine [sic], simultaneously by inhibition and acceleration of its metabolism by the protease inhibitor.	Take into account	
8	BUPRENORPHINE	1819					RITONAVIR BOOSTED PROTEASE INHIBITORS	J05AE-002	ANSM	102-BUPRENORPHINE.html	Risk of increase or decrease of the effects of the buprenorphine, due to both inhibition and acceleration of its metabolism by the protease inhibitor	Take into account	
9	BUPRENORPHINE	1819			ITRACONAZOLE	28031			ANSM	102-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	
10	BUPRENORPHINE	1819			KETOCONAZOLE	6135			ANSM	102-BUPRENORPHINE.html	Increase of the concentrations of buprenorphine due to decrease of its hepatic metabolism, with risk of increase of its undesirable effects	Precaution for use	
11	BUPROPION	42347			CLOMIPRAMINE	2597			ANSM	103-BUPROPION.html	Risk of increase of the undesirable effects of the cloripramine due to decrease of its hepatic metabolism by the bupropion	Precaution for use	
12	BUPROPION	42347			DESIPRAMINE	3247			ANSM	103-BUPROPION.html	Risk of increase of the undesirable effects of the desipramine due to decrease of its hepatic metabolism by the bupropion	Precaution for use	
13	BUPROPION	42347			FLECAINIDE	4441			ANSM	103-BUPROPION.html	Risk of increase of the undesirable effects of the flecainide due to decrease of its hepatic metabolism by the bupropion	Precaution for use	
14	BUPROPION	42347					MAOI-B	N04BD0-001	ANSM	103-BUPROPION.html	Risk of hypertensive crises	CONTRAINDICATION	
15	BUPROPION	42347			MEQUITAZINE	29528			ANSM	103-BUPROPION.html	Risk of increase of the undesirable effects of the mequitazine, due to inhibition of its metabolism by the enzyme inhibitor	Not recommended	
16	BUPROPION	42347			METOPROLOL	6918			ANSM	103-BUPROPION.html	With the metoprolol used for heart failure: risk of increase of the undesirable effects of the metoprolol due to decrease of its hepatic metabolism by the bupropion	Precaution for use	
17	BUPROPION	42347			NORTRIPTYLINE	7531			ANSM	103-BUPROPION.html	Risk of increase of the undesirable effects of the nortriptyline due to decrease of its hepatic metabolism by the bupropion	Precaution for use	
18	BUPROPION	42347			PROPAFENONE	8754			ANSM	103-BUPROPION.html	Risk of increase of the undesirable effects of the propafenone due to decrease of its hepatic metabolism by the bupropion	Precaution for use	
