Drug Name	RxNorm	Source File	Clinical Source	Class Name	Class Code
AMBENONIUM	623	ACETYLCHOLINESTERASE-INHIBITORS.html	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
DONEPEZIL	135447	ACETYLCHOLINESTERASE-INHIBITORS.html	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
GALANTAMINE	4637	ACETYLCHOLINESTERASE-INHIBITORS.html	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
NEOSTIGMINE	7315	ACETYLCHOLINESTERASE-INHIBITORS.html	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
PYRIDOSTIGMINE	9000	ACETYLCHOLINESTERASE-INHIBITORS.html	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
RIVASTIGMINE	183379	ACETYLCHOLINESTERASE-INHIBITORS.html	ANSM	ACETYLCHOLINESTERASE INHIBITORS	NO6DA-001
ADRENALINE 	3992	ADRENALINE-(ORAL-DENTAL-OR-SUB-CUTANEOUS).html	ANSM	ADRENALINE (ORAL-DENTAL OR SUB-CUTANEOUS)	A01AD
BUPRENORPHINE	1819	AGONIST-ANTAGONIST-OPIOIDS.html	ANSM	AGONIST-ANTAGONIST OPIOIDS	NO2A-001
NALBUPHINE	7238	AGONIST-ANTAGONIST-OPIOIDS.html	ANSM	AGONIST-ANTAGONIST OPIOIDS	NO2A-001
ALFENTANIL	480	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
CODEINE 	2670	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
DIHYDROCODEINE	23088	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
FENTANYL	4337	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
HYDROMORPHONE 	3423	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
MORPHINE	7052	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
OXYCODONE	7804	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
PETHIDINE	6754	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
REMIFENTANIL	73032	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
SUFENTANIL	56795	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
TAPENTADOL 	787390	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
TRAMADOL	10689	AGONIST-OPIOID-ANALGESICS.html	ANSM	AGONIST OPIOID ANALGESICS	N01A-N02A
EPINEPHRINE IS THE NAME FOR ADRENALINE SEARCHABLE ON THE ATC SEARCH ENGINE. 	3992	ALPHA-AND-BETA-SYMPATHOMIMETICS-(IM-AND-IV-ROUTES).html	ANSM	ALPHA AND BETA SYMPATHOMIMETICS (IM AND IV ROUTES)	C01CA
DOPAMINE	3628	ALPHA-AND-BETA-SYMPATHOMIMETICS-(IM-AND-IV-ROUTES).html	ANSM	ALPHA AND BETA SYMPATHOMIMETICS (IM AND IV ROUTES)	C01CA
NOREPINEPHRINE IS THE SEARCHABLE NAME FOR NORADRENALINE	7512	ALPHA-AND-BETA-SYMPATHOMIMETICS-(IM-AND-IV-ROUTES).html	ANSM	ALPHA AND BETA SYMPATHOMIMETICS (IM AND IV ROUTES)	C01CA
ALFUZOSIN	17300	ALPHA-BLOCKERS-FOR-UROLOGICAL-USE.html	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
DOXAZOSIN	49276	ALPHA-BLOCKERS-FOR-UROLOGICAL-USE.html	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
PRAZOSIN	8629	ALPHA-BLOCKERS-FOR-UROLOGICAL-USE.html	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
SILODOSIN	720825	ALPHA-BLOCKERS-FOR-UROLOGICAL-USE.html	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
TAMSULOSIN	77492	ALPHA-BLOCKERS-FOR-UROLOGICAL-USE.html	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
TERAZOSIN	37798	ALPHA-BLOCKERS-FOR-UROLOGICAL-USE.html	ANSM	ALPHA BLOCKERS FOR UROLOGICAL USE	G04CA-001
ETILEFRINE	4169	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
MIDODRINE	6963	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
NAPHAZOLINE	7247	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
OXYMETAZOLINE	7812	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
PHENYLEPHRINE	8163	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
SYNEPHRINE	10288	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
TETRYZOLINE	37935	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
TUAMINOHEPTANE	179753	ALPHA-SYMPATHOMIMETICS-(ORAL-AND-OR-NASAL).html	ANSM	ALPHA-SYMPATHOMIMETICS (ORAL AND/OR NASAL)	R01AA
ALUMINUM HYDROXIDE / MAGNESIUM CARBONATE	17384	ALUMINUM-(SALTS).html	ANSM	ALUMINUM (SALTS)	A02AD0-001
HYDROTALCITE	27221	ALUMINUM-(SALTS).html	ANSM	ALUMINUM (SALTS)	A02AD0-001
