1,Active ingredient,tenofovir ,DB00300,consensus set annotator team,Active ingredient,didanosine ,DB00900,consensus set annotator team,,Positive,117466,3364,Qualitative,Exposure to didanosine is increased ,consensus set annotator team
5,Active ingredient,cimetidine ,DB00501,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Positive,2541,39786,Qualitative,resulted in inhibition of first-pass metabolism ,consensus set annotator team
5,Active ingredient,cimetidine ,DB00501,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Positive,2541,39786,Quantitative,the exposure (AUC) and maximum concentration (Cmax) of the drug were increased by about 60 ,consensus set annotator team
5,Active ingredient,cimetidine ,DB00501,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,venlafaxine ,Negative,2541,,Qualitative,no apparent effect on the pharmacokinetics ,consensus set annotator team
5,Active ingredient,diazepam ,DB00829,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,3322,39786,Qualitative,did not appear to affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,diazepam ,DB00829,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,3322,39786,Qualitative,did not appear to affect the pharmacokinetics of either venlafaxine or ODV ,consensus set annotator team
5,Active ingredient,diazepam ,DB00829,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,venlafaxine ,Negative,3322,,Qualitative,did not appear to affect the pharmacokinetics of either venlafaxine or ODV ,consensus set annotator team
5,Active ingredient,ethanol ,DB00898,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,448,39786,Qualitative,no effect on the pharmacokinetics ,consensus set annotator team
5,Active ingredient,ethanol ,DB00898,consensus set annotator team,Metabolite,O-desmethylvenlafaxine ,DB00285,consensus set annotator team,venlafaxine ,Negative,448,,Qualitative,no effect on the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Imipramine ,DB00458,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,5691,39786,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Imipramine ,DB00458,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,venlafaxine ,Negative,5691,,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Indinavir ,DB00224,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,114289,39786,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Indinavir ,DB00224,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,venlafaxine ,Negative,114289,,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,ketoconazole ,DB01026,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Positive,6135,39786,Qualitative,resulted in higher plasma concentrations ,consensus set annotator team
5,Active ingredient,ketoconazole ,DB01026,consensus set annotator team,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,,Positive,6135,39786,Quantitative,AUC increased by 21% in EM subjects and 70% in PM subjects ,consensus set annotator team
5,Active ingredient,ketoconazole ,DB01026,consensus set annotator team,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,,Positive,6135,39786,Quantitative,Cmax increased by 26% in EM subjects and 48% in PM subjects ,consensus set annotator team
5,Active ingredient,ketoconazole ,DB01026,consensus set annotator team,Metabolite,O-desmethylvenlafaxine ,DB00285,consensus set annotator team,venlafaxine ,Positive,6135,,Qualitative,resulted in higher plasma concentrations ,consensus set annotator team
5,Active ingredient,ketoconazole ,DB01026,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,Venlafaxine ,Positive,6135,,Quantitative,AUC increased by 21% in EM subjects and 70% in PM subjects ,consensus set annotator team
5,Active ingredient,ketoconazole ,DB01026,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,Venlafaxine ,Positive,6135,,Quantitative,Cmax increased by 26% in EM subjects and 48% in PM subjects ,consensus set annotator team
5,Active ingredient,lithium ,DB01356,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,6448,39786,Qualitative,pharmacokinetics of venlafaxine administered at 150 mg/day were not affected ,consensus set annotator team
5,Active ingredient,lithium ,DB01356,consensus set annotator team,Metabolite,ODV ,DB00285,consensus set annotator team,venlafaxine ,Negative,6448,,Qualitative,no effect on the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Metoprolol ,DB00264,consensus set annotator team,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,,Negative,6918,39786,Qualitative,did not alter the pharmacokinetic profile ,consensus set annotator team
5,Active ingredient,Metoprolol ,DB00264,consensus set annotator team,Metabolite,O-desmethylvenlafaxine ,DB00285,consensus set annotator team,venlafaxine ,Negative,6918,,Qualitative,did not alter the pharmacokinetic profile ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,alprazolam ,DB00404,consensus set annotator team,,Negative,39786,596,Qualitative,did not inhibit the metabolism ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,caffeine ,DB00201,consensus set annotator team,,Negative,39786,1886,Qualitative,did not inhibit the metabolism ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,clozapine ,DB00363,consensus set annotator team,,Positive,39786,2626,Qualitative,reports of elevated clozapine levels ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,desipramine ,DB01151,consensus set annotator team,,Positive,39786,3247,Quantitative,AUC, Cmax, and Cmin increased by about 35% ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,diazepam ,DB00829,consensus set annotator team,,Negative,39786,3322,Qualitative,did not have any effect ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,diazepam ,DB00829,consensus set annotator team,,Negative,39786,3322,Qualitative,did not inhibit the metabolism ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,haloperidol ,DB00502,consensus set annotator team,,Positive,39786,5093,Quantitative,Cmax increased 88 ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,haloperidol ,DB00502,consensus set annotator team,,Positive,39786,5093,Quantitative,resulted in a 70% increase in haloperidol AUC ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,imipramine ,DB00458,consensus set annotator team,,Negative,39786,5691,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,lithium ,DB01356,consensus set annotator team,,Negative,39786,6448,Qualitative,no effect on the pharmacokinetics ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,metoprolol ,DB00264,consensus set annotator team,,Positive,39786,6918,Quantitative,an increase of plasma concentrations of metoprolol by approximately 30 to 40% ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Negative,39786,35636,Qualitative,did not significantly alter the pharmacokinetic profile of the total active moiety ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,39786,35636,Quantitative,32% increase in risperidone AUC ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Active ingredient,terfenadine ,DB00342,consensus set annotator team,,Negative,39786,42330,Qualitative,did not inhibit the metabolism ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Active ingredient,tolbutamide ,DB01124,consensus set annotator team,,Negative,39786,10635,Quantitative,did not alter the pharmacokinetics ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Metabolite,?-hydroxymetoprolol ,DB00264,consensus set annotator team,metoprolol ,Negative,39786,,Qualitative,without altering the plasma concentrations of its active metabolite, ?-hydroxymetoprolol ,consensus set annotator team
5,Active ingredient,venlafaxine ,DB00285,consensus set annotator team,Metabolite,2-OH-desipramine ,DB00458,consensus set annotator team,imipramine ,Positive,39786,,Quantitative,AUC's increased by at least 2.5 fold (with venlafaxine 37.5 mg q12h) and by 4.5 fold ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Metabolite,2-OH-imipramine ,DB00458,consensus set annotator team,imipramine ,Negative,39786,,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
5,Active ingredient,Venlafaxine ,DB00285,consensus set annotator team,Metabolite,desmethyldiazepam ,DB00829,consensus set annotator team,diazepam ,Negative,39786,3155,Qualitative,did not have any effect ,consensus set annotator team
7,Active ingredient,Amitriptyline ,DB00321,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Negative,704,35636,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
7,Active ingredient,Amitriptyline ,DB00321,consensus set annotator team,Metabolite,9-hydroxyrisperidone ,DB01267,consensus set annotator team,risperidone ,Negative,704,679314,Qualitative,did not affect the pharmacokinetics ,consensus set annotator team
7,Active ingredient,Carbamazepine ,DB00564,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,2002,35636,Quantitative,decreased the steady-state plasma concentrations of risperidone and 9-hydroxyrisperidone by about 50% ,consensus set annotator team
7,Active ingredient,Carbamazepine ,DB00564,consensus set annotator team,Metabolite,9-hydroxyrisperidone ,DB01267,consensus set annotator team,risperidone ,Positive,2002,679314,Quantitative,decreased the steady-state plasma concentrations of risperidone and 9-hydroxyrisperidone by about 50% ,consensus set annotator team
7,Active ingredient,Cimetidine ,DB00501,consensus set annotator team,Active ingredient,risperidone ,DB00734,consensus set annotator team,,Positive,2541,35636,Quantitative,increased the bioavailability of risperidone by 64% and 26 ,consensus set annotator team
