Drug Interaction ID	Drug 1 Name	Drug 1 RxCUI	Drug 1 Class Name	Drug 1 Code	Drug 2 Name	Drug 2 RxCUI	Drug 2 Class Name	Drug 2 Code	Clinical Source	Source File	Description	Severity	Comment
0	IDELALISIB	1544460					CALCIUM CHANNEL BLOCKERS	CO8CA-001	ANSM	276-IDELALISIB.html	Increase of the undesirable effects of the calcium channel blocker, of the orthostatic hypotension sort, especially with older patients	Precaution for use	Clinical monitoring and adjustment of the dosage of the calcium channel blocker during the treatment with idelalisib and after it is stopped.
1	IDELALISIB	1544460					ANTICONVULSANT ENZYMATIC INDUCERS	N03A-001	ANSM	276-IDELALISIB.html	Decrease of the plasma concentratioins of idelalisib due to increase of its hepatic metabolism by the anticonvulsant enzymatic inducer	Not recommended	
2	IDELALISIB	1544460					STRONG INHIBITORS OF CYP3A4	J02-J05	ANSM	276-IDELALISIB.html	Increase of the plasma concentrations of idelalisib due to decrease of its hepatic metabolism by the inhibitor	Take into account	
3	IDELALISIB	1544460			ST JOHNS WORT	258326			ANSM	276-IDELALISIB.html	Risk of large decrease of the plasma concentrations of idelalisib due to increase of its hepatic metabolism by the St Johns wort	Not recommended	
4	IDELALISIB	1544460			RIFAMPICIN	9384			ANSM	276-IDELALISIB.html	Decease of the plasma concentrations of idelalisib due to increase of its hepatic metabolism by the inducer.	Not recommended	
5	IDELALISIB	1544460					SUBSTRATES AT RISK OF CYP3A4	L01N01	ANSM	276-IDELALISIB.html	Increase of the plasma concentrations of the substrate due to decrease of its hepatic metabolism by the idelalisib.	Not recommended	
6			PROGESTIN CONTRACEPTIVES	G03-001	APREPITANT	358255			ANSM	435-PROGESTIN-CONTRACEPTIVES.html	(Except IUD), decrease of the concentrations of progestin, with risk of lower contraceptive effectiveness	Precaution for use	Use another method of contraception, in particular a barrier type, during the length of time that these are administered together and one cycle after.
7			PROGESTIN CONTRACEPTIVES	G03-001	BOCEPREVIR	1102129			ANSM	435-PROGESTIN-CONTRACEPTIVES.html	Aside from the combination ethinylestradiol (0.035mg)/norethisterone (1 mg), risk of decrease of the contraceptive effectiveness due to increase of the hepatic metabolism of the hormonal contraceptive by the boceprevir	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of these medications together.
8			PROGESTIN CONTRACEPTIVES	G03-001	BOSENTAN	75207			ANSM	435-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the effectiveness of the hormonal contraceptive due to increase of its hepatic metabolism	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of these medications together and a cycle after.
9			PROGESTIN CONTRACEPTIVES	G03-001	GRISEOFULVIN	5021			ANSM	435-PROGESTIN-CONTRACEPTIVES.html	Risk of decrease of the effectiveness of the hormonal contraceptive due to increase of its hepatic metabolism	Precaution for use	Use an additional or alternative, reliable contraceptive method during the administration of these medications together and a cycle after.
10			PROGESTIN CONTRACEPTIVES	G03-001			ENZYMATIC INDUCERS	N03-J05-001	ANSM	435-PROGESTIN-CONTRACEPTIVES.html	Decrease of the contraceptive effectiveness of the hormonal contraceptive, due to increase of its hepatic metabolism by the inducer	Not recommended	Another reliable contraceptive method, in particular a barrier type, should be used during the administration of these medications together and a cycle after.
