Drug Name	RxNorm	Source File	Clinical Source	Class Name	Class Code
CAPECITABINE	194000	63	ANSM	FLUOROURACIL (AND BY EXTRAPOLATION, TEGAFUR AND CAPECITABINE)	L01BC-001
FLUOROURACIL 	4492	63	ANSM	FLUOROURACIL (AND BY EXTRAPOLATION, TEGAFUR AND CAPECITABINE)	L01BC-001
TEGAFUR 	4582	63	ANSM	FLUOROURACIL (AND BY EXTRAPOLATION, TEGAFUR AND CAPECITABINE)	L01BC-001
ACEBUTOLOL 	149	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
ATENOLOL	1202	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
BEFUNOLOL	18849	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
BETAXOLOL	1520	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
BISOPROLOL	19484	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
CARTEOLOL	2116	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
CELIPROLOL	20498	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
LABETALOL	6185	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
LEVOBUNOLOL	1813	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
METIPRANOLOL	10824	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
METOPROLOL	6918	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
NADOLOL	7226	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
NADOXOLOL	31462	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
NEBIVOLOL	31555	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
OXPRENOLOL	7801	33	ANSM	BETA BLOCKING AGENTS (EXCEPT ESMOLOL AND SOTALOL)	C07AB-001
