drug pair    DDICorpus2013    KEGG
http://bio2rdf.org/drugbank:DB00495-http://bio2rdf.org/drugbank:DB00649    [(None, None)]    [('http://rest.kegg.jp/ddi/D00413\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB01068    [(None, None)]    [('http://rest.kegg.jp/ddi/D00280\r', None)]
http://bio2rdf.org/drugbank:DB00700-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00625    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00289    [(None, None)]    [('http://rest.kegg.jp/ddi/D02362\r', None)]
http://bio2rdf.org/drugbank:DB00068-http://bio2rdf.org/drugbank:DB01435    [(None, None)]    [('http://rest.kegg.jp/ddi/D00746\r', None)]
http://bio2rdf.org/drugbank:DB00701-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB01073-http://bio2rdf.org/drugbank:DB00552    [(None, None)]    [('http://rest.kegg.jp/ddi/D00155\r', None)]
http://bio2rdf.org/drugbank:DB00427-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00891-http://bio2rdf.org/drugbank:DB00316    [(None, None)]    [('http://rest.kegg.jp/ddi/D00217\r', None)]
http://bio2rdf.org/drugbank:DB00779-http://bio2rdf.org/drugbank:DB01042    [(None, None)]    [('http://rest.kegg.jp/ddi/D00183\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00959    [(None, None)]    [('http://rest.kegg.jp/ddi/D00407\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00717    [(None, None)]    [('http://rest.kegg.jp/ddi/D00182\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00573    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00363    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00795    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01118-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00709-http://bio2rdf.org/drugbank:DB00943    [(None, None)]    [('http://rest.kegg.jp/ddi/D00353\r', None)]
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00224    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB00861-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00615-http://bio2rdf.org/drugbank:DB00625    [(None, None)]    [('http://rest.kegg.jp/ddi/D00424\r', None)]
http://bio2rdf.org/drugbank:DB00681-http://bio2rdf.org/drugbank:DB00741    [(None, None)]    [('http://rest.kegg.jp/ddi/D00088\r', None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00399\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00319    [(None, None)]    [('http://rest.kegg.jp/ddi/D00466\r', None)]
http://bio2rdf.org/drugbank:DB00857-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB01166-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [('http://rest.kegg.jp/ddi/D00320\r', None)]
http://bio2rdf.org/drugbank:DB00531-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00531-http://bio2rdf.org/drugbank:DB00437    [(None, None)]    [('http://rest.kegg.jp/ddi/D00224\r', None)]
http://bio2rdf.org/drugbank:DB00819-http://bio2rdf.org/drugbank:DB00794    [(None, None)]    [('http://rest.kegg.jp/ddi/D00218\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00415    [(None, None)]    [('http://rest.kegg.jp/ddi/D00204\r', None)]
http://bio2rdf.org/drugbank:DB00987-http://bio2rdf.org/drugbank:DB01099    [(None, None)]    [('http://rest.kegg.jp/ddi/D00168\r', None)]
http://bio2rdf.org/drugbank:DB01232-http://bio2rdf.org/drugbank:DB00503    [(None, None)]    [('http://rest.kegg.jp/ddi/D00427\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00495    [(None, None)]    [('http://rest.kegg.jp/ddi/D00413\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00625    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00727-http://bio2rdf.org/drugbank:DB00435    [(None, None)]    [('http://rest.kegg.jp/ddi/D00074\r', None)]
http://bio2rdf.org/drugbank:DB00424-http://bio2rdf.org/drugbank:DB00502    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB00415    [(None, None)]    [('http://rest.kegg.jp/ddi/D00204\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00812    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01045-http://bio2rdf.org/drugbank:DB00701    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00225\r', None)]
http://bio2rdf.org/drugbank:DB01195-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00351\r', None)]
http://bio2rdf.org/drugbank:DB00529-http://bio2rdf.org/drugbank:DB00681    [(None, None)]    [('http://rest.kegg.jp/ddi/D00203\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB00652    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB01045    [(None, None)]    [('http://rest.kegg.jp/ddi/D00211\r', None)]
http://bio2rdf.org/drugbank:DB00206-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D00197\r', None)]
http://bio2rdf.org/drugbank:DB01108-http://bio2rdf.org/drugbank:DB00648    [(None, None)]    [('http://rest.kegg.jp/ddi/D00420\r', None)]
http://bio2rdf.org/drugbank:DB00760-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [('http://rest.kegg.jp/ddi/D00399\r', None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D02342\r', None)]
http://bio2rdf.org/drugbank:DB00390-http://bio2rdf.org/drugbank:DB00872    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01215-http://bio2rdf.org/drugbank:DB01215    [(None, None)]    [('http://rest.kegg.jp/ddi/D00311\r', None)]
http://bio2rdf.org/drugbank:DB00370-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [('http://rest.kegg.jp/ddi/D00293\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00136    [(None, None)]    [('http://rest.kegg.jp/ddi/D00129\r', None)]
http://bio2rdf.org/drugbank:DB00619-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00560\r', None)]
http://bio2rdf.org/drugbank:DB00951-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [('http://rest.kegg.jp/ddi/D00346\r', None)]
http://bio2rdf.org/drugbank:DB00579-http://bio2rdf.org/drugbank:DB01247    [(None, None)]    [('http://rest.kegg.jp/ddi/D00367\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01032    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00437-http://bio2rdf.org/drugbank:DB00266    [(None, None)]    [('http://rest.kegg.jp/ddi/D00224\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00712    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00813-http://bio2rdf.org/drugbank:DB01361    [(None, None)]    [('http://rest.kegg.jp/ddi/D00320\r', None)]
http://bio2rdf.org/drugbank:DB00795-http://bio2rdf.org/drugbank:DB00005    [(None, None)]    [('http://rest.kegg.jp/ddi/D00448\r', None)]
http://bio2rdf.org/drugbank:DB00289-http://bio2rdf.org/drugbank:DB01001    [(None, None)]    [('http://rest.kegg.jp/ddi/D02147\r', None)]
http://bio2rdf.org/drugbank:DB01032-http://bio2rdf.org/drugbank:DB00233    [(None, None)]    [('http://rest.kegg.jp/ddi/D00162\r', None)]
