drug pair    DDICorpus2013    DIKBAll
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations5', u'ketoconazole increases the AUC of midazolam ')]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB00277    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations27', u'cimetidine increases the AUC of theophylline ')]
http://bio2rdf.org/drugbank:DB00476-http://bio2rdf.org/drugbank:DB00176    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations49', u'fluvoxamine increases the AUC of duloxetine ')]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB01124    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations6', u'fluvoxamine increases the AUC of tolbutamide ')]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB01238    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/498', u'ketoconazole is predicted to reduce the clearance of aripiprazole by inhibition of CYP3A4')]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00962    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/31', u'ketoconazole is predicted to reduce the clearance of zaleplon by inhibition of CYP3A4')]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB01238    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/488', u'paroxetine is predicted to reduce the clearance of aripiprazole by inhibition of CYP2D6')]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00715    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/489', u'paroxetine is predicted to reduce the clearance of clozapine by inhibition of CYP2D6')]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01104    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/459', u'sertraline is predicted to reduce the clearance of clozapine by inhibition of CYP2D6')]
http://bio2rdf.org/drugbank:DB00176-http://bio2rdf.org/drugbank:DB00857    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/110', u'terbinafine is predicted to reduce the clearance of fluvoxamine by inhibition of CYP2D6')]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB01118    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/719', u'amiodarone is predicted to reduce the clearance of alprazolam by inhibition of CYP3A4')]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB00176    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations58', u'fluvoxamine increases the AUC of clozapine ')]
http://bio2rdf.org/drugbank:DB00402-http://bio2rdf.org/drugbank:DB01026    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/30', u'ketoconazole is predicted to reduce the clearance of eszopiclone by inhibition of CYP3A4')]
http://bio2rdf.org/drugbank:DB01026-http://bio2rdf.org/drugbank:DB00897    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations43', u'ketoconazole increases the AUC of triazolam ')]
http://bio2rdf.org/drugbank:DB00715-http://bio2rdf.org/drugbank:DB00476    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations84', u'paroxetine increases the AUC of duloxetine ')]
http://bio2rdf.org/drugbank:DB00196-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [(u'http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIObservations28', u'fluconazole increases the AUC of midazolam ')]
