Drug_Interaction_ID	Drug_1_Name	Drug_1_RxCUI	Drug_2_Name	Drug_2_RxCUI	Description	Severity	Comment
232	CLOZAPINE	2626	ESTAZOLAM	4077	Accrued risk of drop in blood pressure with respiratory and/or cardiac arrest.	Take into account	
232	CLOZAPINE	2626	FLURAZEPAM	4501	Accrued risk of drop in blood pressure with respiratory and/or cardiac arrest.	Take into account	
232	CLOZAPINE	2626	ZOLPIDEM	39993	Accrued risk of drop in blood pressure with respiratory and/or cardiac arrest.	Take into account	
Drug_Interaction_ID	Drug_1_Name	Drug_1_RxCUI	Drug_2_Name	Drug_2_RxCUI	Description	Severity	Comment
748	FLUOXETINE	4493	RISPERIDONE	35636	Increase of the active fraction of the risperidone due to decrease of its hepatic metabolism by the fluoxetine, with risk of increase of its undesirable effects	Precaution for use	Clinical monitoring, and, if needed, adjustment of the dosage of the risperidone.
750	FLUOXETINE	4493	VORTIOXETINE	1455099	Risk of increase of the undesirable effects of the vortioxetine due to decrease of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the vortioxetine during the treatment with fluoxetine and after it is stopped.
753	FLUVOXAMINE	42355	CLOZAPINE	2626	Increase of the plasma concentrations of clozapine with signs of overdose	Precaution for use	Increased clinical monitoring; if needed, adjustment of the dosage of the clozapine during the treatment with the fluvoxamine and after it is stopped.
754	FLUVOXAMINE	42355	DULOXETINE	72625	Risk of increase of the undesirable effects of the duloxetine due to decrease of its hepatic metabolism by the fluvoxamine	CONTRAINDICATION	
758	FLUVOXAMINE	42355	OLANZAPINE	61381	Increase of the concentrations of the olanzapine, with risk of increase of the undesirable effects, due to decrease of its hepatic metabolism by the fluvoxamine	Precaution for use	Clinical monitoring and possible reduction of the dosage of the olanzapine during the treatment with fluvoxamine.
1757	PAROXETINE	32937	RISPERIDONE	35636	Increase of the active fraction of the risperidone due to decrease of its hepatic metabolism by the paroxetine, with risk of increase of the undesirable effects.	Precaution for use	Clinical monitoring and, if needed, adjustment of the dosage of the risperidone.
1759	PAROXETINE	32937	VORTIOXETINE	1455099	Risk of increase of the undesirable effects of the vortioxetine due to large decrease of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the vortioxetine during the treatment with the paroxetine and after it is stopped.
2642	VORTIOXETINE	1455099	FLUOXETINE	4493	Risk of increase of the undesirable effects of the vortioxetine by decrease of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the vortioxetine during the treatment with the fluoxetine and after it is stopped.
2644	VORTIOXETINE	1455099	PAROXETINE	32937	Risk of increase of the undesirable effects of the vortioxetine due to large decrease of its hepatic metabolism	Precaution for use	Clinical monitoring and possible adjustment of the dosage of the viortioxetine during the treatment with the paroxetine and after it is stopped.
Drug_Interaction_ID	Drug_Name	RxNorm	Drug_Name	RxNorm	Description	Severity	Comment
