Drug_Interaction_ID,Drug_1_Name,Drug_1_RxCUI,Drug_1_Class_Name,Drug_1_Code,Drug_2_Name,Drug_2_RxCUI,Drug_2_Class_Name,Drug_2_Code,Clinical_Source,Source_File,Description,Severity,Comment,Drug_Name,RxNorm,Source_File,Clinical_Source,Class_Name,Class_Code,Drug_Name,RxNorm,Source_File,Clinical_Source,Class_Name,Class_Code
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",CITALOPRAM,2556,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",ESCITALOPRAM,321988,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",FLUOXETINE,4493,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",FLUVOXAMINE,42355,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",PAROXETINE,32937,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",SERTRALINE,36437,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1183,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"ORAL ANTICOAGULANTS",B01A-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the risk of hemorrhage","Precaution for use","Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.",VORTIOXETINE,1455099,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,APIXABAN,1364430,112,ANSM,"ORAL ANTICOAGULANTS",B01A-001
1184,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"TRICYCLIC ANTIDEPRESSANTS",N06AA-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects","Precaution for use","Increased clinical monitoring and, if necessary, adjustment of the dosage",CITALOPRAM,2556,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,AMITRIPTYLINE,704,145,ANSM,"TRICYCLIC ANTIDEPRESSANTS",N06AA-001
1184,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"TRICYCLIC ANTIDEPRESSANTS",N06AA-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects","Precaution for use","Increased clinical monitoring and, if necessary, adjustment of the dosage",ESCITALOPRAM,321988,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,AMITRIPTYLINE,704,145,ANSM,"TRICYCLIC ANTIDEPRESSANTS",N06AA-001
1184,,NULL,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,,NULL,"TRICYCLIC ANTIDEPRESSANTS",N06AA-001,ANSM,294-SELECTIVE-SEROTONIN-REUPTAKE-INHIBITORS-(SSRIs).html,"Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects","Precaution for use","Increased clinical monitoring and, if necessary, adjustment of the dosage",FLUOXETINE,4493,130,ANSM,"SELECTIVE SEROTONIN REUPTAKE INHIBITORS (SSRIs)",N06AB,AMITRIPTYLINE,704,145,ANSM,"TRICYCLIC ANTIDEPRESSANTS",N06AA-001
